Central hearing loss
Bilateral neural hearing loss
Sensorineural hearing loss of combined sites
Ototoxicity - deafness
"Mixed conductive and sensorineural hearing loss, bilateral"
Bilateral hearing loss
Mixed conductive AND sensorineural hearing loss
Bilateral sensory hearing loss
Deaf mutism
