Absolute glaucoma
Blind hypertensive eye
Blind or low vision - both eyes
Blindness - both eyes
Cortical blindness
Hypoplasia of the optic nerve
"Impairment level: better eye: severe impairment: lesser eye: blind, not further specified"
Impairment level: better eye: severe impairment: lesser eye: total impairment
Impairment level: severe impairment of both eyes
Legal blindness
Legal blindness USA
"Low vision, both eyes"
"One eye blind, one eye low vision"
Severe visual impairment
